Role,Location,Min Salary,Max Salary,Recruiter,Salary_Text,Description
Small Animal Veterinary Surgeon,"Droitwich, Worcestershire",40000,75000,MacArthur Barstow & Gibbs Veterinary Surgeons,"Salary from £40,000 to £75,000",Are you passionate about developing your veterinary skills? So are we!
Small Animal Veterinary Surgeon,"Snettisham, King's Lynn",35000,65000,Coastal Veterinary Group,"Salary of £35,000 to £65,000","Beautiful beaches, a great team, lots of fun and no OOHs… you can find all this and more at Coastal Veterinary Group."
Veterinary Surgeon,London (Greater),62000,83000,Goddard Veterinary Group,"Salary of £62,000 to £83,000","Are you all about teeth!? This dental only role is ideal for a vet whose passion is just that, working 4 days across 3 sites- no weekends or OOH!"
Mixed or Small Animal Veterinary Surgeon,"Dingwall, Highland",65000,65000,Conanvet Veterinary Services,"Salary up to £65,000",It’s time to start living the high life…
Senior Veterinary Surgeon,"Tottenham Hale, London (Greater)",62000,83000,Goddard Veterinary Group,"Salary of £62,000-£83,000",Welcome to Tottenham! This practice in the heart of North London is looking for an vet to jump in and take the bull by the horns as a senior vet.
Small Animal Veterinary Surgeon,"Stafford, Staffordshire",35000,75000,Park House Veterinary Centre,"Salary from £35,000 to £75,000","Are you looking to take your skills to the next level with a supportive team and amazing facilities? If so, read on..."
Veterinary Surgeon,"Sheffield, Yorkshire",35000,60000,Park Veterinary Hospital,"Salary £35,000 to £60,000 FTE depending on experience",We have an exciting opportunity for a Veterinary Surgeon in our 24 hour hospital in Sheffield and the Peak District.
Small Animal Veterinary Surgeon,"Glossop, Derbyshire",40000,60000,Victoria Vets,"Salary from £40,000 to £60,000","At Victoria Vets, we value the experience and expertise of our team, and we continuously encourage professional growth and development"
Small Animal Veterinary Surgeon,"Southminster, Essex",35000,70000,Church View Veterinary Clinic,"Salary of £35,000 to £70,000",Fantastic work-life balance with our independent and supportive practice.
Small Animal Veterinary Surgeon,"Oldbury, West Midlands",49000,66000,"Orchard Veterinary Centre, West Midlands","Salary of £49,000 to £66,000, including bonuses",Are you looking for a supportive team in a practice with happy clients and happy vets? Then read on...
Small Animal Veterinary Surgeon,Staffordshire Shropshire border,34000,60000,Connaught House Veterinary Hospital,"Salary from £34,000 to £60,000 +",Supportive and nurturing hospital practice with a friendly team who will help build your confidence and develop your skills…
Mixed Veterinary Surgeon,"Easingwold, York",55000,55000,Howells Veterinary Services Ltd,"Salary up to £55,000",Howells mixed practice is the hidden gem of the veterinary world.
Small Animal Veterinary Surgeon,"Snettisham, King's Lynn",35000,65000,Coastal Veterinary Group,"Salary of £35,000 to £65,000","Beautiful beaches, a great team, lots of fun and no OOHs… you can find all this and more at Coastal Veterinary Group."
Veterinary Surgeon,Isle of Man,34000,65000,Strand Veterinary Practice,"Salary of £34,000 to £65,000 low taxation plus bonus",Fancy working a stone’s throw from the beach in a super supportive independent practice...
Small Animal Veterinary Surgeon,"Droitwich, Worcestershire",40000,75000,MacArthur Barstow & Gibbs Veterinary Surgeons,"Salary from £40,000 to £75,000",Are you passionate about developing your veterinary skills? So are we!
Mixed Veterinary Surgeon,"Hildersley, Ross-on-Wye",42000,70000,Chaseview Veterinary Clinic,"Salary from £42,000 to £70,000",A mixed vet role with a great work-life balance? No really! Read on to find out more...
Small Animal Veterinary Surgeon,"Colne, Lancashire",35000,65000,Stanley House Veterinary Group,"Salary from £35,000 to £65,000",Would you like to work for a multi-award-winning practice with an amazing team and great rota?
Small Animal Veterinary Surgeon,"Milton Keynes, Buckinghamshire",38000,70000,Milton Keynes Veterinary Group,"Salary from £38,000 to £70,000",Are you looking for a supportive team in a progressive hospital practice with fantastic facilities and no OOHs?
Small Animal Veterinary Surgeon,East Midlands Region,45000,80000,Cockburn Vets,"Salary of £45,000 to £80,000","Join a practice where your voice will be heard and your opinion valued, with lovely clients who voted us Best UK Vets 2021, 2022 and..."
Mixed or Small Animal Veterinary Surgeon,"Dingwall, Highland",65000,65000,Conanvet Veterinary Services,"Salary up to £65,000",It’s time to start living the high life…
Small Animal Veterinary Surgeon,Dorset,3,49700,Vetsmiths,"Salary from £35,300 to £49,700 for a 3-day week","A part-time role with no out-of-hours, at award-winning family-owned practice"
